YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,2,8,14,410.28
2011,2,8,15,335.12
2011,2,8,16,199.06
2011,2,8,17,67.94
2011,2,8,18,4.78
2011,2,8,19,0.0
2011,2,8,20,0.0
2011,2,8,21,0.0
2011,2,8,22,0.0
2011,2,8,23,0.0
2011,2,9,0,0.0
2011,2,9,1,0.0
2011,2,9,2,0.0
2011,2,9,3,0.0
2011,2,9,4,0.0
2011,2,9,5,0.0
2011,2,9,6,6.88
2011,2,9,7,48.62
2011,2,9,8,132.0
2011,2,9,9,197.85
2011,2,9,10,414.95
2011,2,9,11,593.66
2011,2,9,12,572.41
2011,2,9,13,576.97
2011,2,9,14,504.42
2011,2,9,15,426.03
2011,2,9,16,256.09
2011,2,9,17,92.08
2011,2,9,18,5.48
2011,2,9,19,0.0
2011,2,9,20,0.0
2011,2,9,21,0.0
2011,2,9,22,0.0
2011,2,9,23,0.0
2011,2,10,0,0.0
2011,2,10,1,0.0
2011,2,10,2,0.0
2011,2,10,3,0.0
2011,2,10,4,0.0
2011,2,10,5,0.0
2011,2,10,6,15.51
2011,2,10,7,77.63
2011,2,10,8,195.48
2011,2,10,9,297.17
2011,2,10,10,385.73
2011,2,10,11,482.73
2011,2,10,12,492.97
2011,2,10,13,475.62
2011,2,10,14,369.55
2011,2,10,15,360.92
2011,2,10,16,219.94
2011,2,10,17,78.81
2011,2,10,18,5.89
2011,2,10,19,0.0
2011,2,10,20,0.0
2011,2,10,21,0.0
2011,2,10,22,0.0
2011,2,10,23,0.0
2011,2,11,0,0.0
2011,2,11,1,0.0
2011,2,11,2,0.0
2011,2,11,3,0.0
2011,2,11,4,0.0
2011,2,11,5,0.0
2011,2,11,6,9.71
2011,2,11,7,46.84
2011,2,11,8,88.47
2011,2,11,9,256.63
2011,2,11,10,276.39
2011,2,11,11,511.62
2011,2,11,12,660.2
2011,2,11,13,665.46
2011,2,11,14,688.26
2011,2,11,15,463.19
2011,2,11,16,254.3
2011,2,11,17,92.0
2011,2,11,18,6.05
2011,2,11,19,0.0
2011,2,11,20,0.0
2011,2,11,21,0.0
2011,2,11,22,0.0
2011,2,11,23,0.0
2011,2,12,0,0.0
2011,2,12,1,0.0
2011,2,12,2,0.0
2011,2,12,3,0.0
2011,2,12,4,0.0
2011,2,12,5,0.0
2011,2,12,6,10.56
2011,2,12,7,55.79
2011,2,12,8,174.09
2011,2,12,9,70.44
2011,2,12,10,139.52
2011,2,12,11,108.91
2011,2,12,12,485.12
2011,2,12,13,539.66
2011,2,12,14,476.41
2011,2,12,15,406.47
2011,2,12,16,237.33
2011,2,12,17,81.19
2011,2,12,18,3.07
2011,2,12,19,0.0
2011,2,12,20,0.0
2011,2,12,21,0.0
2011,2,12,22,0.0
2011,2,12,23,0.0
2011,2,13,0,0.0
2011,2,13,1,0.0
2011,2,13,2,0.0
2011,2,13,3,0.0
2011,2,13,4,0.0
2011,2,13,5,0.0
2011,2,13,6,20.61
2011,2,13,7,149.74
2011,2,13,8,334.67
2011,2,13,9,482.95
2011,2,13,10,624.45
2011,2,13,11,671.57
2011,2,13,12,606.16
2011,2,13,13,460.8
2011,2,13,14,369.3
2011,2,13,15,255.87
2011,2,13,16,149.72
2011,2,13,17,57.73
2011,2,13,18,5.55
2011,2,13,19,0.0
2011,2,13,20,0.0
2011,2,13,21,0.0
2011,2,13,22,0.0
2011,2,13,23,0.0
2011,2,14,0,0.0
2011,2,14,1,0.0
2011,2,14,2,0.0
